t,S,I,R,R0,beta, gamma
0,99,1,0,1.64999999835,0.15,0.090909091
1,98.8515,1.057590909,0.090909091,1.64999999835,0.15,0.090909091
2,98.69468332838848,1.1182629524244665,0.1870537191870537,1.64999999835,0.15,0.090909091
3,98.52913341643738,1.1821525958716843,0.2887139876909382,1.64999999835,0.15,0.090909091
4,98.35441871018153,1.2493988842135426,0.39618240560492335,1.64999999835,0.15,0.090909091
5,98.17009285869058,1.3201430188442338,0.5097641224651908,1.64999999835,0.15,0.090909091
6,97.97569501457055,1.3945278611311445,0.6297771242983159,1.64999999835,0.15,0.090909091
7,97.77075025995329,1.4726973555187974,0.7565523845279225,1.64999999835,0.15,0.090909091
8,97.55477017192091,1.5547958656428627,0.8904339624362402,1.64999999835,0.15,0.090909091
9,97.32725354191534,1.6409674168122752,1.031779041272391,1.64999999835,0.15,0.090909091
10,97.08768726417017,1.7313548383344184,1.1809578974954131,1.64999999835,0.15,0.090909091
11,96.83554740853889,1.8260987994142643,1.3383537920468471,1.64999999835,0.15,0.090909091
12,96.57030049324385,1.9253367327783562,1.5043627739777892,1.64999999835,0.15,0.090909091
13,96.29140497299122,2.029201640785195,1.6793933862235795,1.64999999835,0.15,0.090909091
14,95.99831295754416,2.137820779612763,1.86386626284307,1.64999999835,0.15,0.090909091
15,95.69047217517155,2.251314218189866,2.0582136066385774,1.64999999835,0.25,0.090909091
16,95.15189887378838,2.5852225904420134,2.2628785357695937,2.74999999725,0.25,0.090909091
17,94.53692677755845,2.965174450942194,2.4978987714993424,2.74999999725,0.25,0.090909091
18,93.83613057767992,3.396409336829138,2.7674600854909213,2.74999999725,0.25,0.090909091
19,93.03936580261505,3.884409626418964,3.0762245709659712,2.74999999725,0.25,0.090909091
20,92.13585828221606,4.43478899860855,3.4293527191753688,2.74999999725,0.25,0.090909091
21,91.11435055549774,5.0531340886865665,3.8325153558156724,2.74999999725,0.25,0.090909091
22,89.96331797859642,5.744790838884266,4.291891182519281,2.74999999725,0.25,0.090909091
23,88.67126686619874,6.514588238133852,4.814144895667377,2.74999999725,0.25,0.090909091
24,87.22712488573131,7.366494923633227,5.406380190635417,2.74999999725,0.25,0.090909091
25,85.62072945404667,8.303208997954268,6.0760615479990285,2.74999999725,0.15,0.090909091
26,84.55433923722529,8.614762032388597,6.830898730386072,1.64999999835,0.15,0.090909091
27,83.46171597022347,8.924225113844669,7.614058915931832,1.64999999835,0.15,0.090909091
28,82.34446925766441,9.230178633424737,8.425352108910822,1.64999999835,0.15,0.090909091
29,81.20438801658022,9.531152725176664,9.264459258243086,1.64999999835,0.15,0.090909091
30,80.04343088036943,9.825641430959479,10.130927688671068,1.64999999835,0.15,0.090909091
