t,S,I,R,D,R0,beta, gamma, mu
0,99,1,0,0,1.6006984850594699,0.15,0.090909091,0.0028
1,98.8515,1.054790909,0.090909091,0.0028,1.6006984850594699,0.15,0.090909091,0.0028
2,98.69509850468849,1.1123489070340666,0.18679917373225371,0.0057534145452,1.6006984850594699,0.15,0.090909091,0.0028
3,98.53042342726152,1.1727867795080253,0.2879218017455642,0.008867991484895386,1.6006984850594699,0.15,0.090909091,0.0028
4,98.35709066029929,1.236218763425741,0.3945387818074562,0.012151794467517858,1.6006984850594699,0.15,0.090909091,0.0028
5,98.17470433881395,1.302760148313314,0.5069223058676344,0.015613207005109934,1.6006984850594699,0.15,0.090909091,0.0028
6,97.98285720023638,1.3725268176014216,0.625355046741823,0.01926093542038721,1.6006984850594699,0.15,0.090909091,0.0028
7,97.78113105147757,1.445634725909672,0.750130212103091,0.023104010509671192,1.6006984850594699,0.15,0.090909091,0.0028
8,97.56909735359746,1.5221993077067533,0.8815515509535735,0.027151787742218273,1.6006984850594699,0.15,0.090909091,0.0028
9,97.34631793492963,1.6023348129285524,1.0199333063380238,0.03141394580379718,1.6006984850594699,0.15,0.090909091,0.0028
10,97.1123458437233,1.686153565337686,1.1656001076590137,0.03590048327999713,1.6006984850594699,0.15,0.090909091,0.0028
11,96.86672635144926,1.7737651397175331,1.3188867955702719,0.040621713262942644,1.6006984850594699,0.15,0.090909091,0.0028
12,96.60899811784812,1.8652754544282528,1.4801381720694808,0.045588255654151734,1.6006984850594699,0.15,0.090909091,0.0028
13,96.33869452854893,1.9607857764283603,1.6497086680961652,0.050811026926550845,1.6006984850594699,0.15,0.090909091,0.0028
14,96.05534521562204,2.0603916366004125,1.8279619206769966,0.05630122710055025,1.6006984850594699,0.15,0.090909091,0.0028
15,95.7584777707225,2.164181654130135,2.0152702514643424,0.062070323683031406,1.6006984850594699,0.25,0.090909091,0.0028
16,95.24038091867543,2.479475010609789,2.212014038400189,0.06813003231459579,2.66783080843245,0.25,0.090909091,0.0028
17,94.6500155574534,2.837491022430363,2.4374208577719405,0.07507256234430319,2.66783080843245,0.25,0.090909091,0.0028
18,93.97859413391048,3.2430137415406737,2.695374587341745,0.08301753720710821,2.66783080843245,0.25,0.090909091,0.0028
19,93.21665945344311,3.7010485521877516,2.9901940186857168,0.0920979756834221,2.66783080843245,0.25,0.090909091,0.0028
20,92.35416099716825,4.2167251128902326,3.326652978311971,0.1024609116295478,2.66783080843245,0.25,0.090909091,0.0028
21,91.38058072227658,4.795159910456084,3.7099916253216945,0.11426774194564046,2.66783080843245,0.25,0.090909091,0.0028
22,90.28511947909243,5.441271077231745,4.145915253980898,0.1276941896949175,2.66783080843245,0.25,0.090909091,0.0028
23,89.05695495577743,6.159539034014762,4.640576261496626,0.14292974871116637,2.66783080843245,0.25,0.090909091,0.0028
24,87.68558048002592,6.953708705909735,5.2005343560579265,0.1601764580064077,2.66783080843245,0.25,0.090909091,0.0028
25,86.16123051910915,7.82643294491691,5.832689693590967,0.17964684238295497,2.66783080843245,0.15,0.090909091,0.0028
26,85.14972787944515,8.104527667540298,6.544183598385817,0.2015608546287223,1.6006984850594699,0.15,0.090909091,0.0028
27,84.11458039122141,8.380207235054483,7.280958841626255,0.22425353209783513,1.6006984850594699,0.15,0.090909091,0.0028
28,83.05723396846928,8.652252055418032,8.042795863756682,0.24771811235598767,1.6006984850594699,0.15,0.090909091,0.0028
29,81.97928578348774,8.919405565183464,8.829364233217618,0.27194441811115816,1.6006984850594699,0.15,0.090909091,0.0028
30,80.88247603671724,9.180385924180289,9.640219285408788,0.2969187536936719,1.6006984850594699,0.15,0.090909091,0.0028
31,79.76867751993674,9.433898820976651,10.474799824805213,0.3226238342813767,1.6006984850594699,0.15,0.090909091,0.0028
32,78.63988307072745,9.678651187086254,11.332426991206173,0.34903875098011133,1.6006984850594699,0.15,0.090909091,0.0028
33,77.49819107427523,9.913365578690561,12.212304372730255,0.3761389743039528,1.6006984850594699,0.15,0.090909091,0.0028
34,76.34578922456546,10.136794951270536,13.113519426239703,0.4038963979242864,1.6006984850594699,0.15,0.090909091,0.0028
35,75.18493680842195,10.347737526877095,14.035046240913097,0.4322794237878439,1.6006984850594699,0.15,0.090909091,0.0028
36,74.01794582031937,10.545051437429441,14.975749653388082,0.4612530888630998,1.6006984850594699,0.15,0.090909091,0.0028
