beta,gamma
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
0.15,0.090909091
